event_id,asset_id,event_type,severity,event_timestamp,source_ip,status,detection_source
34,103,Lateral Movement,Critical,2024-08-28 10:49:24,74.151.17.24,False Positive,SIEM
35,144,Policy Violation,Low,2024-04-23 09:49:27,219.74.82.95,Resolved,EDR
36,33,DDoS,Low,2023-10-15 09:25:23,90.0.25.240,Escalated,Firewall
37,65,Port Scan,Low,2023-08-15 05:10:18,140.93.113.113,Open,SIEM
38,1,Phishing,Low,2023-09-22 12:11:59,95.195.183.106,False Positive,SIEM
39,132,DDoS,Medium,2024-11-22 02:42:28,222.74.60.47,Investigating,IDS
40,54,Privilege Escalation,Medium,2023-07-01 19:53:52,190.136.203.196,Resolved,IDS
41,154,Port Scan,Low,2024-06-29 10:06:05,40.2.4.61,Investigating,EDR
42,165,Anomalous Traffic,Low,2024-04-05 15:13:01,107.26.123.94,False Positive,Manual
43,25,Privilege Escalation,Low,2024-04-21 09:46:32,72.133.46.190,Escalated,IDS
44,185,Failed Login,Medium,2024-09-05 06:53:17,227.121.66.224,Open,Manual
45,197,DDoS,High,2024-05-01 03:06:00,103.111.186.175,False Positive,SIEM
46,24,Privilege Escalation,High,2024-12-30 14:53:42,250.132.227.241,Open,WAF
47,7,DDoS,Low,2023-03-09 01:17:46,68.101.199.43,Investigating,IDS
48,1,DDoS,Medium,2024-08-04 18:09:01,132.60.238.202,Investigating,EDR
49,149,Phishing,Medium,2025-02-07 04:46:21,38.93.90.107,Escalated,IDS
50,195,DDoS,Low,2024-10-28 00:23:30,103.183.85.30,Escalated,IDS
51,167,Intrusion Attempt,Low,2025-02-15 19:16:17,233.245.73.216,Escalated,WAF
52,181,Privilege Escalation,Medium,2023-12-19 17:21:42,165.235.239.165,Investigating,WAF
53,89,DDoS,Low,2024-12-29 23:19:33,147.128.103.236,Resolved,EDR
54,144,Phishing,High,2024-07-31 09:39:25,106.115.177.211,Open,Firewall
55,14,Phishing,Critical,2024-09-28 06:34:32,96.74.168.224,Escalated,SIEM
56,156,Anomalous Traffic,High,2023-07-10 13:06:07,177.188.250.143,Open,EDR
57,23,Data Exfiltration,Low,2024-12-07 20:35:44,67.222.31.136,Open,IDS
58,29,Privilege Escalation,High,2024-07-10 18:01:00,156.72.137.160,False Positive,WAF
59,24,Lateral Movement,Critical,2023-10-06 05:47:27,11.53.240.218,False Positive,Firewall
60,60,Privilege Escalation,Low,2023-12-20 04:18:37,64.179.1.122,Resolved,IDS
61,183,Privilege Escalation,Medium,2023-08-12 06:08:38,57.144.103.232,Open,IDS
62,180,Phishing,Medium,2024-12-11 20:29:53,137.197.26.62,Investigating,Firewall
63,45,DDoS,Medium,2024-09-06 07:57:11,194.16.132.242,Investigating,SIEM
64,174,Phishing,Low,2024-06-14 12:46:08,216.33.86.105,Escalated,Manual
65,175,Lateral Movement,Low,2024-01-11 04:25:24,75.203.164.9,Open,Firewall
66,129,DDoS,High,2023-05-21 02:38:30,2.93.207.112,Resolved,WAF
67,75,Privilege Escalation,Critical,2025-01-25 16:48:19,121.229.98.227,Escalated,Manual
68,42,Data Exfiltration,Medium,2023-06-09 07:18:48,253.139.134.229,Escalated,Firewall
69,138,Malware Detected,Medium,2023-06-26 14:00:05,99.172.37.33,Escalated,EDR
70,162,Failed Login,Low,2023-04-17 11:21:34,5.78.185.219,Resolved,EDR
71,44,DDoS,Low,2023-06-12 23:17:14,223.32.43.41,Resolved,Manual
72,180,Brute Force,High,2023-12-09 07:24:26,133.71.227.115,Escalated,WAF
73,176,Malware Detected,Low,2023-04-29 08:40:17,87.210.242.202,Open,SIEM
74,17,DDoS,High,2023-07-28 22:51:43,81.204.78.11,Escalated,WAF
75,112,Policy Violation,Medium,2023-03-14 21:19:19,210.24.236.34,Open,EDR
76,170,Phishing,High,2024-09-30 16:30:25,162.71.251.43,False Positive,SIEM
77,36,Port Scan,High,2023-05-21 16:01:12,50.115.69.50,False Positive,Firewall
78,62,Failed Login,Medium,2023-05-17 10:21:11,82.162.241.19,Escalated,Firewall
79,33,Data Exfiltration,Low,2024-01-12 01:22:16,50.246.21.244,Escalated,Firewall
80,16,Brute Force,High,2023-06-14 13:29:39,132.251.6.233,Open,SIEM
81,97,Malware Detected,Medium,2023-11-24 20:38:48,213.187.124.10,Resolved,Manual
82,118,Privilege Escalation,High,2023-01-10 08:27:33,110.95.28.27,Open,IDS
83,93,Failed Login,Low,2024-06-03 08:18:49,93.116.121.93,Investigating,EDR
84,124,Data Exfiltration,High,2024-08-30 04:10:06,121.143.138.18,False Positive,SIEM
85,158,Intrusion Attempt,Medium,2024-08-02 06:01:20,8.10.78.78,False Positive,IDS
86,80,Failed Login,Medium,2023-11-10 19:31:56,205.160.244.213,False Positive,WAF
87,150,DDoS,High,2023-01-03 13:33:55,249.220.7.196,False Positive,IDS
88,158,Failed Login,Medium,2023-12-22 19:18:13,224.255.108.73,Open,Firewall
89,157,Data Exfiltration,High,2023-10-02 14:32:26,188.60.74.119,Resolved,SIEM
90,131,Intrusion Attempt,Medium,2024-09-24 09:11:51,168.95.60.88,Open,Manual
91,132,Brute Force,Medium,2024-03-13 04:12:55,191.185.187.218,Resolved,Firewall
92,97,Intrusion Attempt,High,2023-06-16 22:40:27,146.141.232.48,Escalated,Manual
93,194,Malware Detected,High,2023-02-08 11:47:00,142.234.19.115,Escalated,Firewall
94,86,Anomalous Traffic,High,2023-01-18 21:30:13,110.54.233.94,Resolved,Manual
95,4,Data Exfiltration,Medium,2024-08-22 15:13:53,54.219.126.20,Escalated,Firewall
96,45,Failed Login,High,2024-06-18 11:09:04,243.214.105.113,Escalated,SIEM
97,3,Phishing,Medium,2024-09-30 01:27:28,174.253.83.87,Resolved,Manual
98,24,Policy Violation,High,2023-06-29 10:23:57,22.71.34.16,Open,IDS
99,136,Data Exfiltration,Critical,2023-04-06 19:46:39,254.163.49.227,Resolved,Firewall
100,103,Malware Detected,Medium,2023-03-07 06:42:54,139.156.169.92,Resolved,SIEM
101,24,Lateral Movement,Medium,2023-06-10 14:40:48,125.158.174.220,Resolved,SIEM
102,41,Data Exfiltration,Low,2025-01-23 20:20:02,2.154.230.201,Escalated,EDR
103,12,Data Exfiltration,Medium,2023-05-22 09:54:06,217.120.48.87,Open,EDR
104,148,Port Scan,Low,2024-03-12 08:40:14,92.1.214.81,Open,SIEM
105,197,Data Exfiltration,Low,2025-03-30 00:04:26,38.134.112.132,False Positive,Firewall
106,83,Intrusion Attempt,High,2024-08-22 10:57:04,74.164.252.7,Investigating,Manual
107,98,Phishing,High,2023-07-02 04:49:09,118.11.225.61,Open,WAF
108,153,DDoS,Medium,2023-12-20 22:51:44,242.183.1.205,Resolved,Manual
109,120,Intrusion Attempt,Low,2024-09-11 12:56:39,147.100.167.50,Investigating,SIEM
110,15,Port Scan,Medium,2024-08-26 22:25:48,182.20.208.186,Open,WAF
111,38,Failed Login,High,2023-09-16 02:16:20,146.185.0.106,Resolved,Manual
112,139,Phishing,Medium,2025-02-16 11:06:32,53.186.30.131,Resolved,SIEM
113,90,Privilege Escalation,High,2023-11-06 18:44:07,73.44.102.130,Escalated,Manual
114,36,Privilege Escalation,Low,2023-01-04 14:55:55,184.253.22.102,Resolved,SIEM
115,192,Lateral Movement,Critical,2023-11-23 17:19:16,210.143.105.47,Escalated,Firewall
116,91,Malware Detected,Medium,2024-04-07 19:51:37,225.68.80.248,Investigating,SIEM
117,11,Port Scan,Low,2023-06-07 06:01:33,45.146.2.22,Resolved,EDR
118,31,Data Exfiltration,High,2024-09-06 01:42:37,42.226.122.68,Open,WAF
119,70,Intrusion Attempt,Low,2023-08-27 15:29:57,34.175.15.96,Investigating,WAF
120,172,Brute Force,Low,2024-06-17 21:48:15,98.97.9.148,Resolved,Manual
121,75,Brute Force,Critical,2024-02-08 16:00:03,182.40.5.132,False Positive,Manual
122,19,Privilege Escalation,Medium,2023-01-15 23:44:52,34.120.193.140,False Positive,Firewall
123,177,Data Exfiltration,High,2023-02-15 16:24:52,248.218.42.177,Escalated,WAF
124,159,Port Scan,Medium,2024-06-06 10:37:53,17.94.212.137,False Positive,IDS
125,123,Port Scan,Medium,2023-11-09 23:48:31,182.241.165.13,Escalated,IDS
126,9,Failed Login,Medium,2024-01-09 05:33:28,12.121.128.249,Escalated,Manual
127,37,Privilege Escalation,Low,2023-06-18 02:20:18,14.243.203.253,Open,EDR
128,93,Lateral Movement,Medium,2024-01-08 08:23:33,34.11.134.2,False Positive,Manual
129,65,Policy Violation,Critical,2024-03-22 12:22:59,43.76.246.135,Resolved,Manual
130,88,Data Exfiltration,Medium,2024-01-19 08:01:59,142.207.133.125,Escalated,EDR
131,74,Phishing,High,2024-06-27 09:10:53,120.103.193.217,Investigating,Firewall
132,50,Phishing,Low,2024-06-23 19:19:17,187.217.184.95,Escalated,IDS
133,123,Intrusion Attempt,Medium,2025-01-29 07:14:25,65.228.33.50,Investigating,Firewall
134,94,Anomalous Traffic,Low,2024-07-25 20:44:54,244.177.146.195,Escalated,WAF
135,66,Brute Force,High,2024-12-05 04:18:33,199.39.40.218,Investigating,Firewall
136,122,Brute Force,Low,2024-06-16 12:27:13,88.54.59.134,Open,EDR
137,75,Failed Login,Medium,2024-03-18 08:37:21,100.106.6.129,Resolved,Firewall
138,33,Lateral Movement,High,2025-02-12 00:06:34,159.164.25.189,Investigating,Firewall
139,117,Malware Detected,High,2023-08-30 01:31:31,45.119.42.104,Resolved,IDS
140,13,Port Scan,High,2024-04-07 05:10:46,200.18.167.244,Escalated,EDR
141,56,Malware Detected,Medium,2025-01-15 03:42:14,230.34.145.87,Escalated,IDS
142,91,DDoS,High,2023-05-30 15:51:05,91.6.42.223,Escalated,WAF
143,195,Intrusion Attempt,Medium,2024-11-21 14:11:11,105.171.161.228,Resolved,WAF
144,140,Phishing,Medium,2023-05-17 22:29:49,221.84.119.127,Open,WAF
145,39,Malware Detected,Medium,2023-08-19 13:58:43,191.240.42.30,Resolved,IDS
146,142,Policy Violation,Medium,2024-05-27 05:04:07,82.72.216.194,Investigating,WAF
147,64,Port Scan,Low,2024-10-26 04:33:20,167.249.66.96,Investigating,Manual
148,7,Phishing,Low,2023-06-17 18:25:13,215.5.28.228,Investigating,EDR
149,116,Malware Detected,Critical,2025-01-23 22:51:00,29.58.49.175,Investigating,Firewall
150,119,Port Scan,Low,2023-12-29 12:12:40,214.220.13.64,False Positive,IDS
151,120,Data Exfiltration,Low,2024-07-10 23:38:43,209.70.185.150,Resolved,Manual
152,26,Malware Detected,Critical,2024-05-17 05:27:18,149.13.203.22,Open,SIEM
153,167,Data Exfiltration,Medium,2023-01-05 14:56:11,69.109.176.226,Escalated,WAF
154,124,Policy Violation,Medium,2023-12-02 05:26:57,216.2.160.218,Open,Manual
155,160,Privilege Escalation,Low,2025-01-24 02:13:29,172.74.121.27,Investigating,IDS
156,88,Brute Force,High,2024-02-24 19:14:50,162.195.138.75,Investigating,WAF
157,167,Lateral Movement,Low,2023-01-01 19:34:19,249.132.154.101,Resolved,EDR
158,30,Data Exfiltration,Medium,2024-11-01 18:35:33,245.98.238.127,Investigating,Firewall
159,141,Lateral Movement,Medium,2024-07-30 04:53:13,188.56.175.180,Escalated,Manual
160,110,Privilege Escalation,Low,2023-04-09 12:31:21,64.15.255.236,Escalated,SIEM
161,176,Privilege Escalation,Medium,2024-07-06 10:38:15,144.111.134.213,Investigating,EDR
162,81,Lateral Movement,Medium,2024-04-03 13:56:24,107.108.16.147,False Positive,Firewall
163,20,Malware Detected,High,2023-01-25 13:04:38,140.199.207.87,Escalated,SIEM
164,196,Brute Force,High,2024-12-21 07:14:05,19.227.129.40,Escalated,EDR
165,39,Privilege Escalation,High,2024-05-24 00:37:48,72.133.117.220,Open,Firewall
166,130,Intrusion Attempt,High,2025-03-31 08:48:53,223.250.240.50,Open,Manual
167,65,Intrusion Attempt,High,2023-08-20 11:59:24,102.210.216.208,False Positive,EDR
168,63,Brute Force,Critical,2024-07-09 22:10:45,111.15.30.159,False Positive,Firewall
169,194,Phishing,Medium,2023-07-13 23:31:05,52.138.123.65,Resolved,Manual
170,116,Privilege Escalation,Medium,2024-05-08 02:20:05,183.120.225.134,Open,WAF
171,116,Malware Detected,Low,2024-04-29 16:15:13,171.220.3.105,False Positive,Manual
172,126,DDoS,Medium,2025-03-14 05:34:26,244.94.3.83,Escalated,Manual
173,117,Privilege Escalation,Low,2024-04-21 10:19:23,104.45.104.33,Open,IDS
174,29,Phishing,Low,2023-12-10 01:48:17,18.194.48.8,Open,WAF
175,67,Lateral Movement,Medium,2024-10-25 07:34:59,28.93.203.142,Investigating,IDS
176,67,Intrusion Attempt,Medium,2024-08-09 08:40:21,125.243.155.199,Investigating,EDR
177,197,Intrusion Attempt,Critical,2023-10-26 02:38:27,16.145.27.57,Investigating,EDR
178,91,Privilege Escalation,High,2023-07-06 11:04:16,239.232.92.239,Open,Firewall
179,150,Data Exfiltration,Medium,2023-04-29 13:43:10,196.189.187.100,False Positive,EDR
180,83,Lateral Movement,High,2025-02-21 13:32:53,171.146.227.1,Resolved,IDS
181,124,Policy Violation,Low,2023-11-12 02:57:01,149.200.110.228,False Positive,EDR
182,144,DDoS,High,2025-02-26 15:50:30,226.69.52.218,Investigating,IDS
183,111,Brute Force,Low,2024-10-09 15:50:07,1.132.232.241,Resolved,Manual
184,138,Failed Login,Medium,2023-04-15 12:39:50,75.19.39.235,Investigating,IDS
185,188,DDoS,Low,2023-01-07 04:58:13,61.43.172.173,Investigating,SIEM
186,182,Phishing,Low,2023-09-21 10:25:28,130.71.227.115,Investigating,WAF
187,104,Phishing,Medium,2024-01-09 05:47:53,71.110.255.91,Investigating,Manual
188,44,DDoS,Low,2023-11-23 17:04:27,230.53.199.131,Escalated,Firewall
189,155,DDoS,Medium,2023-08-14 15:50:15,229.54.26.72,Investigating,WAF
190,176,Failed Login,Medium,2023-12-12 01:26:15,135.210.218.202,Investigating,WAF
191,135,Malware Detected,Low,2023-05-05 08:10:20,4.245.8.68,Resolved,Manual
192,194,Privilege Escalation,High,2024-02-10 08:07:35,46.59.189.56,Escalated,EDR
193,165,Brute Force,Medium,2023-01-08 13:44:03,236.41.184.72,Escalated,Manual
194,76,Intrusion Attempt,Low,2024-08-24 10:34:19,65.36.64.94,False Positive,IDS
195,17,Lateral Movement,Medium,2025-03-24 12:56:45,104.11.3.197,Investigating,WAF
196,162,Anomalous Traffic,Medium,2024-06-29 09:43:46,10.130.94.161,Investigating,SIEM
197,63,Port Scan,Medium,2024-07-09 14:07:18,91.65.133.20,Open,IDS
198,175,Intrusion Attempt,Low,2024-04-11 02:12:28,215.221.138.18,Investigating,Manual
199,142,DDoS,Medium,2023-03-25 06:34:13,47.166.26.121,Resolved,EDR
200,86,Phishing,Low,2024-07-22 01:32:35,14.81.146.40,Open,WAF
201,40,Anomalous Traffic,Medium,2023-11-19 07:54:15,18.179.7.69,Resolved,SIEM
202,94,Port Scan,Medium,2025-02-02 14:13:59,101.196.127.26,Open,SIEM
203,195,Policy Violation,High,2025-02-24 05:54:03,214.248.28.142,False Positive,WAF
204,131,Lateral Movement,High,2024-08-25 15:37:42,40.181.205.154,Investigating,IDS
205,177,DDoS,High,2023-04-16 14:22:51,33.17.130.44,False Positive,EDR
206,62,Intrusion Attempt,High,2024-04-30 05:13:06,97.16.86.187,Open,SIEM
207,118,Lateral Movement,Critical,2024-10-19 03:21:38,143.157.240.124,Open,IDS
208,107,DDoS,Critical,2024-01-28 07:44:20,241.143.63.41,False Positive,Manual
209,197,Anomalous Traffic,Medium,2023-04-22 18:46:07,16.37.96.42,Investigating,WAF
210,113,Policy Violation,Low,2023-10-29 04:15:35,222.128.132.214,Investigating,WAF
211,133,Phishing,Medium,2024-01-24 16:02:43,89.236.28.30,Open,Manual
212,30,Data Exfiltration,Medium,2023-09-29 04:41:37,180.169.103.98,Escalated,WAF
213,14,DDoS,Medium,2023-08-28 03:27:32,154.245.211.47,Open,Firewall
214,104,Phishing,Low,2023-10-14 15:01:15,6.144.128.43,Open,Firewall
215,13,Port Scan,High,2024-08-07 05:41:46,74.134.75.48,False Positive,WAF
216,67,Privilege Escalation,Low,2024-09-10 05:55:47,218.47.86.92,Open,Manual
217,198,Malware Detected,Medium,2023-06-07 10:28:20,38.71.109.152,Open,IDS
218,25,DDoS,Medium,2024-02-24 10:15:25,183.234.186.188,Investigating,EDR
219,197,DDoS,High,2023-04-06 03:33:35,186.141.99.3,Investigating,WAF
220,15,Privilege Escalation,Critical,2024-06-21 20:53:59,199.34.92.167,Open,Firewall
221,55,Brute Force,Low,2023-12-24 08:46:25,58.140.89.128,Open,Firewall
222,142,Lateral Movement,Critical,2023-04-14 17:48:00,148.218.61.208,Escalated,EDR
223,9,Failed Login,High,2024-05-23 06:02:04,73.39.56.191,Resolved,SIEM
224,164,Phishing,Critical,2023-11-02 18:17:19,56.18.6.189,Resolved,Firewall
225,14,Phishing,Medium,2023-10-01 07:26:27,122.36.198.199,Open,WAF
226,90,Intrusion Attempt,Medium,2023-07-22 00:56:06,219.66.16.137,Escalated,SIEM
227,115,Policy Violation,Low,2024-03-31 08:52:35,12.13.237.224,Open,SIEM
228,127,Anomalous Traffic,Critical,2024-10-01 12:21:54,198.221.255.13,Open,WAF
229,58,DDoS,Medium,2023-07-03 20:16:01,245.194.200.66,False Positive,IDS
230,80,Failed Login,High,2024-10-09 11:05:15,210.32.42.157,Investigating,Manual
231,199,Lateral Movement,Medium,2023-05-15 11:56:30,29.193.203.70,Escalated,EDR
232,156,Policy Violation,High,2024-02-01 08:44:12,14.153.58.130,Investigating,Manual
233,198,Anomalous Traffic,High,2023-01-31 19:23:42,207.224.129.160,Open,SIEM
234,105,Port Scan,Medium,2023-03-19 01:30:26,160.203.120.43,Escalated,SIEM
235,54,Brute Force,Critical,2024-01-31 15:10:13,209.255.149.104,Resolved,SIEM
236,32,Privilege Escalation,High,2024-01-28 16:54:30,181.232.73.44,Investigating,SIEM
237,73,Anomalous Traffic,Medium,2025-01-30 14:07:16,163.167.167.63,Resolved,SIEM
238,170,Anomalous Traffic,High,2024-09-25 05:51:03,224.15.24.59,Investigating,Manual
239,64,DDoS,Medium,2023-08-29 07:18:02,49.139.124.191,Resolved,SIEM
240,74,Intrusion Attempt,Medium,2024-04-28 17:44:57,112.159.203.128,Escalated,IDS
241,65,Phishing,Medium,2024-05-12 10:35:54,79.82.188.191,False Positive,Manual
242,18,Anomalous Traffic,Medium,2025-01-16 21:02:47,235.73.196.205,Open,IDS
243,88,Phishing,Low,2023-02-26 00:11:25,126.9.207.130,Open,SIEM
244,46,Data Exfiltration,Critical,2024-07-19 05:52:49,240.52.85.251,Open,Manual
245,183,Brute Force,Medium,2024-08-23 17:15:08,1.74.39.152,Investigating,WAF
246,57,Anomalous Traffic,Low,2024-06-24 04:53:50,32.97.110.77,Investigating,Firewall
247,78,Policy Violation,Low,2023-04-05 02:37:26,111.68.144.132,Investigating,SIEM
248,170,Port Scan,Medium,2025-03-30 12:37:25,242.46.171.224,Investigating,WAF
249,100,Data Exfiltration,Low,2023-02-03 09:26:52,12.138.134.4,Investigating,Manual
250,163,Anomalous Traffic,Medium,2023-12-08 05:01:19,79.16.52.177,Escalated,SIEM
251,165,DDoS,High,2024-09-08 11:10:49,223.173.255.131,Resolved,Firewall
252,180,DDoS,Medium,2023-06-03 02:59:49,22.5.74.254,Resolved,Manual
253,156,Brute Force,Medium,2023-09-05 11:03:12,105.140.147.242,Open,IDS
254,59,DDoS,High,2023-06-21 17:50:20,247.31.165.136,Investigating,WAF
255,77,Brute Force,Low,2024-08-18 04:08:10,143.234.56.243,Resolved,SIEM
256,152,Privilege Escalation,High,2023-04-28 23:42:36,113.153.202.210,Investigating,Firewall
257,38,Lateral Movement,High,2024-02-01 08:32:04,251.104.249.95,Investigating,Manual
258,134,Port Scan,High,2023-06-27 06:38:49,248.209.96.126,Resolved,SIEM
259,73,Malware Detected,High,2023-10-14 20:47:37,132.135.155.50,Investigating,WAF
260,92,Anomalous Traffic,Medium,2023-12-03 14:45:06,213.141.251.36,False Positive,Manual
261,137,Brute Force,Low,2025-01-08 14:52:40,158.52.201.119,Investigating,WAF
262,10,Anomalous Traffic,Low,2024-08-27 04:41:14,82.17.29.132,Resolved,WAF
263,102,Phishing,Medium,2023-03-21 09:39:06,15.139.137.159,Resolved,SIEM
264,102,Anomalous Traffic,Low,2023-10-26 08:03:58,140.232.2.127,Resolved,Manual
265,140,Intrusion Attempt,High,2024-10-14 17:51:07,117.183.184.86,Investigating,Manual
266,3,Privilege Escalation,Medium,2024-01-08 20:23:25,139.13.137.235,Open,Firewall
267,114,Failed Login,Medium,2024-05-19 12:42:10,107.98.60.248,Escalated,Manual
268,61,Lateral Movement,High,2024-05-05 14:50:39,87.165.192.172,Escalated,Firewall
269,70,Privilege Escalation,High,2024-07-03 19:01:39,129.149.110.11,Open,EDR
270,5,Port Scan,Medium,2024-08-07 08:30:08,142.49.190.254,Open,WAF
271,121,Malware Detected,Medium,2024-04-02 23:06:49,211.223.250.67,Investigating,Firewall
272,57,Phishing,High,2023-08-14 00:04:21,43.252.19.16,Escalated,Manual
273,123,Lateral Movement,Low,2023-11-28 11:58:32,250.48.203.26,Resolved,EDR
274,39,Policy Violation,Medium,2023-12-30 10:00:09,88.83.170.72,False Positive,IDS
275,33,Malware Detected,Medium,2023-07-10 12:50:38,41.227.89.102,Open,SIEM
276,154,Intrusion Attempt,Low,2023-10-11 14:52:41,22.89.29.7,Investigating,EDR
277,155,Phishing,Medium,2023-06-20 05:44:05,229.223.102.14,Investigating,WAF
278,35,Lateral Movement,Low,2023-03-24 09:35:08,112.245.143.141,Escalated,Manual
279,54,Failed Login,Medium,2024-04-01 16:41:50,240.170.71.172,Open,WAF
280,151,Malware Detected,Medium,2024-01-14 14:04:33,142.201.25.247,Investigating,SIEM
281,104,Port Scan,Low,2024-11-01 12:23:24,86.217.77.58,Investigating,IDS
282,74,Policy Violation,Low,2025-02-15 19:31:06,214.5.17.69,Resolved,Manual
283,158,Data Exfiltration,Low,2024-02-14 05:19:36,225.97.52.33,Open,EDR
284,80,Failed Login,Medium,2023-12-11 12:26:09,107.206.39.216,False Positive,Firewall
285,81,Data Exfiltration,Low,2023-08-11 14:46:45,169.229.45.124,Escalated,IDS
286,64,Privilege Escalation,Low,2024-01-17 14:34:13,80.193.179.81,False Positive,EDR
287,42,Data Exfiltration,Medium,2025-01-30 04:39:37,88.212.100.232,Resolved,SIEM
288,83,Intrusion Attempt,Medium,2025-01-25 17:28:27,220.160.206.198,Escalated,Firewall
289,111,Anomalous Traffic,High,2023-12-31 18:18:33,50.166.83.237,Resolved,EDR
290,191,Policy Violation,Medium,2023-05-31 06:53:06,208.94.50.196,Escalated,WAF
291,124,Failed Login,High,2023-02-25 05:09:18,217.167.193.7,Investigating,WAF
292,10,Privilege Escalation,Low,2025-01-12 01:38:43,220.132.12.236,Open,IDS
293,96,Lateral Movement,High,2024-04-06 03:26:26,39.92.142.201,Resolved,Firewall
294,87,Data Exfiltration,Medium,2025-03-21 02:49:51,160.174.82.185,False Positive,EDR
295,107,Lateral Movement,High,2023-02-16 20:36:37,66.84.151.20,Resolved,SIEM
296,151,Lateral Movement,Medium,2024-12-15 19:28:12,201.25.84.163,Resolved,IDS
297,31,Brute Force,Low,2024-09-30 19:26:45,60.69.140.7,Escalated,EDR
298,23,Intrusion Attempt,Medium,2023-03-30 07:10:11,74.234.35.94,False Positive,Firewall
299,57,Failed Login,Medium,2025-02-24 11:59:05,168.66.201.226,Escalated,EDR
300,54,Policy Violation,High,2024-10-24 17:24:06,164.27.85.218,Escalated,IDS
301,159,Data Exfiltration,High,2024-04-23 02:48:15,133.192.15.130,False Positive,EDR
302,144,Policy Violation,Medium,2023-09-01 09:01:16,82.15.101.15,Escalated,EDR
303,10,Port Scan,Low,2023-10-24 15:56:02,149.139.33.77,Open,IDS
304,68,Lateral Movement,Medium,2024-10-04 08:22:19,32.21.69.92,Investigating,WAF
305,120,Data Exfiltration,Low,2024-05-01 03:41:45,76.146.164.48,Open,Manual
306,103,Privilege Escalation,High,2023-02-24 05:12:47,7.80.57.11,Escalated,WAF
307,198,Failed Login,Medium,2024-05-22 02:00:58,2.226.207.43,Investigating,SIEM
308,82,Privilege Escalation,Medium,2025-01-09 18:36:01,67.99.219.30,Resolved,Manual
309,86,Malware Detected,High,2023-09-10 10:39:16,91.42.106.91,Investigating,WAF
310,77,DDoS,Low,2024-08-22 12:37:11,5.179.160.122,Escalated,SIEM
311,156,Malware Detected,Low,2023-04-23 18:18:50,19.242.243.110,Escalated,SIEM
312,109,Failed Login,Low,2024-08-11 03:10:55,132.239.130.22,False Positive,Firewall
313,17,Privilege Escalation,High,2024-10-27 09:22:21,224.92.184.146,Investigating,WAF
