activity_id,deal_id,rep_id,activity_type,activity_date,duration_minutes,outcome
64,1352,63,Call,2024-05-04 21:00:00,100,Negative
65,1470,10,Proposal Sent,2024-03-25 10:41:50,87,Negative
66,738,91,Meeting,2024-01-05 13:33:30,36,Neutral
67,711,33,Demo,2023-10-26 18:47:25,15,Positive
68,1453,77,Email,2023-04-22 10:42:48,39,Negative
69,344,46,Email,2023-07-26 13:29:30,105,Neutral
70,1386,76,Call,2024-04-29 19:52:22,99,Positive
71,1095,73,Follow-up,2023-07-05 00:38:47,74,Negative
72,1421,97,Call,2023-08-08 08:24:45,81,Neutral
73,1116,57,Meeting,2024-12-28 10:04:42,41,Negative
74,327,63,Call,2024-07-17 11:07:55,108,Negative
75,274,52,Call,2023-06-09 20:48:48,64,Neutral
76,879,24,Meeting,2025-01-23 13:48:23,56,Neutral
77,304,27,Meeting,2024-06-07 23:01:04,117,Positive
78,967,10,Call,2024-09-23 01:46:17,47,Positive
79,255,73,Proposal Sent,2023-01-23 20:16:48,52,Negative
80,818,41,Demo,2023-03-20 03:03:37,51,Negative
81,38,75,Proposal Sent,2024-02-18 11:46:02,19,Negative
82,1141,21,Meeting,2024-09-23 03:41:03,14,Neutral
83,70,29,Call,2024-09-03 11:53:08,53,Neutral
84,15,17,Demo,2024-12-31 19:51:14,86,Negative
85,424,12,Demo,2023-02-11 07:19:36,18,Neutral
86,649,92,Proposal Sent,2024-01-07 10:06:02,49,Negative
87,246,29,Demo,2024-03-30 11:08:09,35,Negative
88,343,47,Call,2023-05-06 16:54:33,78,Negative
89,1293,16,Proposal Sent,2024-08-19 06:47:10,35,Positive
90,1123,16,Meeting,2024-08-15 20:45:58,23,Negative
91,375,80,Meeting,2023-09-16 10:57:24,36,Neutral
92,1148,24,Follow-up,2023-08-13 06:18:48,108,Neutral
93,230,100,Meeting,2023-08-30 00:59:08,34,Negative
94,486,7,Meeting,2023-12-28 08:39:05,100,Positive
95,227,20,Email,2023-01-22 04:52:10,120,Positive
96,290,56,Follow-up,2024-01-31 19:39:42,105,Neutral
97,11,48,Follow-up,2023-05-27 08:34:13,61,Neutral
98,377,25,Follow-up,2024-06-22 07:22:19,77,Positive
99,108,84,Proposal Sent,2023-08-15 00:46:04,46,Positive
100,1289,65,Demo,2024-01-31 13:53:56,24,Neutral
101,668,55,Email,2023-11-25 23:55:07,59,Positive
102,1087,98,Proposal Sent,2023-01-14 23:42:12,97,Positive
103,242,98,Meeting,2024-04-10 11:26:40,53,Neutral
104,1024,50,Meeting,2023-11-29 12:39:06,33,Neutral
105,917,13,Meeting,2024-08-07 06:55:47,97,Positive
106,634,34,Follow-up,2023-09-20 07:46:33,28,Negative
107,116,8,Proposal Sent,2023-04-25 00:24:24,73,Negative
108,298,53,Proposal Sent,2023-02-08 15:34:25,109,Positive
109,589,85,Demo,2023-08-23 18:35:27,84,Positive
110,1165,33,Proposal Sent,2023-05-12 11:07:58,109,Negative
111,881,90,Call,2024-12-27 23:16:03,30,Negative
112,911,76,Meeting,2025-03-06 13:35:33,9,Neutral
113,779,33,Email,2023-02-17 01:50:24,80,Positive
114,1150,17,Follow-up,2023-09-26 10:24:47,85,Neutral
115,57,78,Email,2023-04-02 02:42:26,63,Positive
116,495,23,Follow-up,2025-02-26 13:02:21,108,Neutral
117,492,35,Call,2024-09-26 23:06:54,66,Neutral
118,878,88,Email,2023-06-25 02:23:16,105,Positive
119,1496,75,Meeting,2025-03-31 08:33:43,17,Neutral
120,1404,96,Follow-up,2024-11-11 18:48:53,12,Neutral
121,71,95,Demo,2023-07-22 00:32:30,88,Positive
122,1489,28,Demo,2024-01-15 08:37:34,47,Positive
123,1436,70,Call,2024-09-12 01:43:06,69,Negative
124,582,78,Follow-up,2025-01-18 07:24:33,63,Negative
125,1083,19,Demo,2023-11-05 08:28:49,120,Neutral
126,2,58,Proposal Sent,2023-05-06 19:03:50,72,Negative
127,1129,64,Proposal Sent,2024-01-31 06:13:41,77,Positive
128,1426,67,Call,2023-08-15 17:09:47,66,Neutral
129,463,69,Email,2023-10-21 00:56:09,120,Positive
130,1235,36,Follow-up,2024-05-02 13:58:47,40,Negative
131,401,53,Demo,2024-10-01 16:02:24,96,Negative
132,49,49,Call,2023-06-03 07:38:45,42,Positive
133,1232,72,Demo,2023-06-18 06:27:46,21,Neutral
134,217,58,Call,2025-02-28 19:01:43,94,Negative
135,385,34,Call,2023-10-17 15:09:02,113,Neutral
136,764,42,Meeting,2023-10-09 17:23:35,41,Positive
137,623,19,Proposal Sent,2023-03-25 13:55:56,73,Negative
138,39,98,Follow-up,2024-10-27 21:49:51,22,Neutral
139,1013,9,Call,2024-02-05 19:48:27,116,Negative
140,1294,83,Follow-up,2023-11-05 22:00:43,95,Negative
141,452,24,Call,2024-11-04 02:40:30,102,Positive
142,649,92,Email,2023-04-28 21:49:05,14,Positive
143,592,35,Demo,2024-04-21 05:32:58,44,Positive
144,527,19,Email,2023-01-01 19:17:41,85,Negative
145,356,65,Demo,2023-06-29 22:11:46,89,Neutral
146,349,11,Call,2025-03-27 18:54:20,46,Negative
147,1291,89,Call,2024-04-25 09:59:06,39,Neutral
148,186,9,Proposal Sent,2023-05-20 02:40:29,38,Neutral
149,1143,16,Demo,2023-11-14 11:21:23,51,Positive
150,39,98,Meeting,2023-09-28 18:41:39,28,Negative
151,1119,44,Email,2024-01-25 05:59:09,37,Negative
152,1021,37,Email,2024-05-19 20:49:24,6,Positive
153,1350,75,Follow-up,2024-01-30 21:26:58,60,Positive
154,533,100,Demo,2024-09-08 13:39:19,18,Positive
155,1062,17,Proposal Sent,2023-01-03 12:51:20,62,Neutral
156,192,27,Meeting,2024-09-12 23:21:02,9,Positive
157,1455,37,Proposal Sent,2025-03-17 17:55:20,32,Neutral
158,161,24,Meeting,2024-06-15 18:36:20,11,Neutral
159,497,56,Demo,2023-02-10 09:30:58,31,Positive
160,454,24,Call,2025-02-15 08:49:44,37,Neutral
161,1226,26,Demo,2023-03-27 21:47:41,8,Positive
162,900,85,Proposal Sent,2025-01-15 07:25:34,60,Neutral
163,480,38,Call,2024-12-04 03:09:08,18,Neutral
164,122,20,Meeting,2023-07-17 06:54:57,78,Positive
165,1025,87,Meeting,2023-02-22 04:18:46,45,Negative
166,578,8,Demo,2023-09-09 19:48:36,53,Negative
167,83,19,Follow-up,2024-11-23 05:20:21,17,Negative
168,10,26,Follow-up,2025-01-17 11:40:52,76,Neutral
169,137,25,Meeting,2025-02-14 14:50:21,61,Positive
170,888,28,Proposal Sent,2023-09-20 02:34:31,58,Positive
171,680,30,Follow-up,2023-07-13 14:30:09,90,Positive
172,319,49,Email,2023-09-25 19:05:08,22,Positive
173,883,82,Meeting,2024-01-24 19:22:40,48,Neutral
174,1279,22,Proposal Sent,2024-11-24 10:46:43,62,Negative
175,376,26,Email,2023-01-24 00:12:35,18,Positive
176,487,25,Meeting,2023-12-04 19:32:12,81,Neutral
177,341,23,Meeting,2023-07-24 13:48:12,16,Neutral
178,1204,39,Meeting,2023-04-20 03:29:31,37,Negative
179,1312,47,Proposal Sent,2023-07-31 14:30:22,88,Neutral
180,716,64,Proposal Sent,2023-02-13 15:02:57,57,Neutral
181,159,18,Call,2024-09-09 10:20:26,39,Positive
182,9,1,Meeting,2024-10-31 14:15:39,97,Negative
183,947,86,Email,2025-02-18 17:58:12,82,Neutral
184,348,1,Email,2023-01-02 21:14:02,12,Positive
185,282,7,Meeting,2024-07-20 02:25:01,81,Positive
186,1234,4,Proposal Sent,2024-04-24 02:48:56,58,Positive
187,917,13,Proposal Sent,2024-02-11 18:08:41,43,Neutral
188,591,58,Demo,2025-02-23 02:05:34,51,Positive
189,1324,60,Demo,2024-05-31 10:59:33,100,Neutral
190,1174,71,Meeting,2024-08-30 06:46:55,57,Neutral
191,966,37,Meeting,2023-12-20 09:37:01,34,Neutral
192,472,98,Email,2025-03-27 06:03:55,83,Neutral
193,828,17,Call,2025-02-23 13:50:37,14,Positive
194,1274,49,Demo,2025-01-31 04:47:27,47,Negative
195,311,78,Proposal Sent,2023-05-11 11:18:10,63,Neutral
196,267,62,Demo,2024-10-27 14:00:45,88,Neutral
197,1131,100,Meeting,2024-07-01 00:24:25,78,Positive
198,887,65,Meeting,2024-11-22 01:01:26,92,Positive
199,1367,87,Call,2025-03-30 23:34:36,16,Negative
200,940,65,Email,2023-05-22 11:43:34,59,Positive
201,306,5,Proposal Sent,2024-12-10 00:53:38,56,Neutral
202,621,75,Call,2023-02-24 05:48:45,7,Neutral
203,1110,93,Meeting,2023-08-01 17:19:26,57,Negative
204,1459,53,Email,2024-05-08 14:07:44,10,Negative
205,958,10,Call,2023-06-14 04:03:42,5,Negative
206,1231,6,Follow-up,2023-12-23 05:54:55,68,Negative
207,732,51,Email,2023-11-24 23:49:04,63,Negative
208,1022,34,Meeting,2024-09-13 08:19:03,99,Positive
209,610,90,Demo,2024-01-29 05:33:43,93,Neutral
210,1321,96,Follow-up,2025-03-26 15:27:27,31,Positive
211,1084,82,Proposal Sent,2024-04-24 15:40:38,24,Neutral
212,132,25,Demo,2024-02-07 04:02:00,89,Positive
213,1159,36,Proposal Sent,2023-03-15 00:17:48,80,Negative
214,404,57,Proposal Sent,2024-08-29 06:19:32,31,Neutral
215,867,29,Call,2023-11-14 09:11:37,104,Positive
216,508,63,Follow-up,2023-07-10 05:33:14,83,Negative
217,1041,23,Proposal Sent,2023-01-06 05:14:25,6,Negative
218,935,59,Demo,2024-06-23 02:01:47,18,Neutral
219,873,93,Call,2023-01-10 16:39:14,73,Neutral
220,946,40,Demo,2023-02-21 11:27:11,100,Negative
221,1394,15,Proposal Sent,2023-08-02 01:38:22,11,Neutral
222,1156,99,Proposal Sent,2024-08-20 23:51:15,7,Negative
223,290,56,Meeting,2024-03-09 01:02:21,92,Positive
224,233,43,Call,2023-07-25 17:29:49,69,Negative
225,1343,15,Email,2023-09-27 07:05:06,69,Neutral
226,1284,4,Meeting,2023-09-05 03:27:55,97,Neutral
227,437,33,Proposal Sent,2023-08-17 15:39:01,106,Negative
228,493,13,Meeting,2024-09-30 19:30:28,89,Neutral
229,680,30,Demo,2024-03-05 16:04:40,50,Positive
230,210,18,Call,2025-02-22 02:07:38,10,Neutral
231,1347,8,Meeting,2023-07-17 16:50:19,102,Negative
232,1009,65,Demo,2023-01-27 14:15:29,103,Neutral
233,748,33,Follow-up,2024-11-04 17:59:03,66,Neutral
234,245,95,Proposal Sent,2024-08-20 22:57:27,9,Positive
235,525,41,Proposal Sent,2024-06-06 15:18:52,79,Neutral
236,355,15,Demo,2023-07-06 15:00:47,99,Positive
237,710,5,Call,2023-03-21 03:32:17,23,Neutral
238,1380,78,Meeting,2024-02-18 00:06:44,115,Negative
239,381,25,Demo,2025-01-11 23:22:40,68,Negative
240,889,68,Email,2024-08-20 16:29:12,79,Neutral
241,1076,26,Email,2024-10-18 11:53:42,79,Negative
242,976,23,Demo,2024-09-02 11:24:52,106,Negative
243,512,100,Meeting,2024-06-29 10:28:19,47,Negative
244,1300,37,Meeting,2024-11-18 17:43:02,78,Positive
245,695,97,Follow-up,2024-07-11 22:43:31,23,Positive
246,469,84,Meeting,2024-06-26 14:26:03,79,Positive
247,638,70,Proposal Sent,2023-01-29 04:04:28,29,Neutral
248,60,42,Call,2025-01-22 16:02:02,101,Neutral
249,577,45,Call,2023-01-31 00:36:53,89,Positive
250,856,52,Demo,2023-10-08 16:06:17,76,Neutral
251,653,40,Meeting,2025-02-01 19:39:06,83,Positive
252,1169,4,Meeting,2024-09-09 23:00:31,43,Negative
253,494,50,Proposal Sent,2023-07-01 03:35:27,100,Negative
254,35,12,Meeting,2024-04-19 09:43:08,78,Neutral
255,1281,61,Call,2024-06-17 11:56:20,52,Positive
256,72,23,Call,2023-03-01 14:35:19,29,Negative
257,1298,12,Meeting,2023-12-12 08:53:35,81,Negative
258,468,41,Call,2024-04-20 00:27:39,19,Neutral
259,1193,64,Proposal Sent,2025-03-07 00:11:06,106,Positive
260,70,29,Proposal Sent,2024-04-03 05:47:26,113,Positive
261,407,63,Meeting,2024-02-03 14:53:19,63,Neutral
262,794,85,Proposal Sent,2025-03-29 04:16:26,30,Positive
263,333,26,Follow-up,2025-03-29 19:54:57,76,Neutral
264,993,26,Demo,2024-05-25 17:35:50,39,Positive
265,1004,55,Follow-up,2024-08-01 21:11:40,52,Negative
266,256,68,Proposal Sent,2023-12-30 10:08:15,89,Positive
267,629,43,Email,2023-10-25 07:40:05,73,Negative
268,675,70,Proposal Sent,2023-11-19 21:42:17,95,Positive
269,171,62,Meeting,2023-04-09 05:10:08,12,Positive
270,809,26,Email,2023-09-03 03:14:33,76,Negative
271,171,62,Follow-up,2023-04-08 11:49:51,81,Negative
272,493,13,Demo,2023-11-07 13:48:10,91,Neutral
273,1109,84,Demo,2023-06-14 18:35:50,26,Negative
274,1308,48,Demo,2024-10-15 15:43:46,74,Positive
275,809,26,Demo,2025-03-06 10:39:51,6,Neutral
276,596,2,Demo,2023-12-02 04:31:02,116,Neutral
277,82,80,Demo,2023-05-13 08:26:43,40,Positive
278,18,41,Call,2024-03-13 09:50:29,103,Negative
279,990,97,Meeting,2023-04-08 02:22:20,56,Negative
280,1459,53,Demo,2024-09-09 06:44:30,12,Negative
281,1489,28,Meeting,2024-01-17 18:31:43,89,Neutral
282,479,37,Follow-up,2023-01-06 15:38:30,96,Negative
283,42,79,Proposal Sent,2024-08-25 01:46:08,91,Positive
284,874,48,Demo,2023-11-25 03:15:34,118,Positive
285,593,47,Follow-up,2025-03-25 07:26:58,119,Negative
286,539,62,Email,2024-09-12 19:30:47,72,Negative
287,1095,73,Demo,2024-07-03 15:34:14,54,Negative
288,499,50,Demo,2024-12-11 00:49:57,92,Neutral
289,559,26,Follow-up,2024-01-08 00:25:43,118,Negative
290,1232,72,Follow-up,2024-08-10 23:06:20,78,Neutral
291,1137,93,Follow-up,2023-08-26 06:06:58,16,Negative
292,570,57,Email,2023-07-06 03:50:51,110,Positive
293,424,12,Follow-up,2023-03-01 22:13:00,5,Neutral
294,565,67,Meeting,2025-01-19 08:25:30,116,Positive
295,120,68,Proposal Sent,2023-12-31 18:50:33,66,Neutral
296,1180,86,Proposal Sent,2025-01-30 16:20:32,37,Negative
297,279,3,Email,2023-09-09 23:07:09,28,Negative
298,1180,86,Email,2023-01-26 11:47:47,45,Negative
299,344,46,Follow-up,2024-02-28 16:27:16,27,Negative
300,1129,64,Email,2023-03-11 02:47:22,31,Positive
301,612,93,Demo,2024-10-24 08:07:27,24,Positive
302,1088,43,Demo,2023-07-17 08:31:27,109,Negative
303,162,89,Call,2024-07-30 09:35:06,10,Positive
304,1495,50,Email,2023-08-08 03:34:00,99,Neutral
305,975,28,Proposal Sent,2024-09-05 09:47:26,34,Positive
306,1406,2,Email,2023-12-26 17:58:43,65,Neutral
307,1273,16,Meeting,2024-08-13 06:44:48,83,Negative
308,832,40,Follow-up,2024-11-26 23:02:59,27,Positive
309,88,44,Demo,2023-02-20 18:26:26,103,Neutral
310,150,58,Proposal Sent,2024-12-27 11:20:55,110,Positive
311,959,20,Follow-up,2023-01-23 16:40:41,100,Neutral
312,326,21,Follow-up,2023-10-05 22:41:40,33,Neutral
313,130,3,Proposal Sent,2024-03-22 09:13:26,101,Neutral
314,468,41,Meeting,2023-12-14 05:23:47,71,Positive
315,952,75,Proposal Sent,2023-01-08 17:38:11,66,Neutral
316,120,68,Meeting,2025-03-23 01:00:39,31,Neutral
317,373,89,Email,2023-03-08 20:53:07,92,Negative
318,971,47,Email,2024-11-15 11:07:22,70,Neutral
319,584,11,Email,2023-09-17 23:02:48,57,Negative
320,1404,96,Call,2023-07-30 19:41:14,105,Neutral
321,748,33,Follow-up,2023-05-06 03:00:07,13,Neutral
322,3,45,Email,2024-01-23 11:35:13,49,Neutral
323,552,100,Demo,2023-07-10 08:46:23,76,Negative
324,339,96,Proposal Sent,2024-06-17 03:55:21,59,Positive
325,729,58,Meeting,2023-03-03 19:12:47,24,Neutral
326,517,46,Follow-up,2023-12-10 12:14:24,37,Negative
327,805,72,Follow-up,2023-06-26 04:20:23,23,Negative
328,1396,81,Demo,2023-01-26 12:38:36,64,Neutral
329,641,93,Follow-up,2024-12-07 00:20:42,14,Neutral
330,414,93,Call,2025-03-19 08:45:09,22,Positive
331,663,12,Call,2023-11-12 10:35:18,19,Neutral
332,51,52,Follow-up,2024-06-02 17:37:33,24,Negative
333,607,83,Proposal Sent,2024-04-21 13:28:43,46,Positive
334,330,94,Demo,2024-10-21 07:28:33,67,Negative
335,826,63,Follow-up,2024-10-24 13:06:16,57,Positive
336,1260,28,Proposal Sent,2024-06-01 10:34:23,76,Negative
337,1152,14,Meeting,2024-06-21 21:45:42,8,Positive
338,1304,45,Demo,2025-03-28 15:48:05,91,Negative
339,944,54,Call,2025-01-21 21:58:34,53,Positive
340,19,73,Call,2023-08-24 11:05:49,102,Neutral
341,1177,15,Meeting,2025-02-24 12:13:35,15,Negative
342,41,51,Demo,2023-07-07 05:57:15,21,Negative
343,377,25,Demo,2023-05-08 05:46:09,105,Positive
344,480,38,Proposal Sent,2024-10-15 20:32:08,91,Neutral
345,265,85,Call,2023-08-08 08:42:33,13,Negative
346,1012,80,Proposal Sent,2024-10-13 03:29:15,10,Negative
347,196,77,Meeting,2024-07-16 05:54:07,31,Positive
348,323,40,Demo,2025-01-08 07:42:03,51,Neutral
349,1024,50,Follow-up,2024-01-31 03:40:06,96,Neutral
350,428,13,Call,2023-01-05 07:51:24,29,Negative
351,225,28,Follow-up,2023-09-28 20:39:51,91,Positive
352,357,18,Call,2023-07-24 19:45:23,78,Neutral
353,1446,30,Proposal Sent,2023-11-09 05:07:23,78,Neutral
354,371,89,Proposal Sent,2023-02-17 06:50:53,58,Neutral
355,393,85,Proposal Sent,2025-03-28 05:59:54,76,Neutral
356,799,74,Meeting,2024-06-16 12:24:44,114,Negative
357,563,72,Demo,2024-12-11 20:55:05,31,Positive
358,178,91,Call,2024-07-09 00:22:03,58,Positive
359,193,27,Proposal Sent,2024-12-23 20:28:08,97,Negative
360,744,71,Email,2024-08-16 12:26:23,59,Neutral
361,430,35,Proposal Sent,2024-09-30 05:05:08,106,Negative
362,211,87,Call,2025-03-08 12:00:52,108,Negative
363,1059,23,Demo,2023-11-23 04:35:57,60,Positive
364,374,30,Proposal Sent,2023-02-24 10:52:52,55,Positive
365,1270,83,Demo,2025-01-06 15:07:52,26,Positive
366,153,47,Follow-up,2023-08-16 09:28:05,69,Negative
367,1341,72,Meeting,2023-09-30 02:38:56,65,Neutral
368,525,41,Demo,2024-02-10 11:19:56,69,Negative
369,597,81,Follow-up,2024-08-28 02:47:13,38,Positive
370,215,68,Proposal Sent,2023-07-13 23:40:34,34,Neutral
371,50,36,Call,2023-06-08 10:01:05,101,Negative
372,958,10,Proposal Sent,2024-02-15 11:27:42,63,Positive
373,451,75,Demo,2024-01-07 14:58:46,79,Negative
374,1483,91,Call,2023-07-24 12:15:23,64,Neutral
375,958,10,Follow-up,2024-06-04 20:35:01,56,Negative
376,400,11,Call,2023-12-30 12:26:14,22,Positive
377,487,25,Demo,2023-07-18 12:05:45,106,Neutral
378,269,42,Email,2025-01-16 22:30:35,71,Negative
379,1351,87,Proposal Sent,2023-08-25 00:27:43,104,Positive
380,128,5,Email,2023-11-16 10:31:15,80,Neutral
381,340,49,Follow-up,2023-05-09 06:02:28,118,Negative
382,1136,16,Proposal Sent,2023-03-13 00:21:02,57,Negative
383,690,64,Follow-up,2023-07-02 21:32:19,31,Positive
384,918,89,Demo,2024-07-02 23:29:38,11,Positive
385,1037,65,Email,2023-10-10 02:58:06,56,Neutral
386,862,77,Demo,2023-02-24 08:59:00,116,Neutral
387,1355,50,Call,2024-01-17 07:12:28,85,Neutral
388,1226,26,Call,2023-01-10 23:10:14,53,Neutral
389,1366,6,Demo,2024-08-15 13:07:31,112,Negative
390,830,81,Proposal Sent,2023-09-14 06:49:47,60,Neutral
391,336,18,Call,2024-09-01 18:16:31,112,Neutral
392,262,78,Demo,2023-02-09 19:02:16,21,Negative
393,293,63,Email,2024-02-26 21:07:07,101,Negative
394,135,12,Proposal Sent,2024-02-24 18:08:35,110,Neutral
395,1207,75,Call,2023-07-12 17:27:49,32,Positive
396,829,56,Demo,2023-10-21 07:11:34,12,Positive
397,1126,53,Demo,2025-02-20 20:41:33,21,Negative
398,950,97,Meeting,2024-02-12 15:29:57,102,Neutral
399,438,19,Follow-up,2023-12-16 05:19:37,97,Positive
400,497,56,Follow-up,2023-01-23 19:19:14,85,Positive
401,849,14,Call,2023-06-02 02:09:19,87,Positive
402,650,21,Follow-up,2023-05-19 04:39:24,91,Negative
403,951,20,Email,2023-01-26 16:45:33,99,Neutral
404,1325,83,Email,2024-12-29 10:18:01,25,Negative
405,212,66,Email,2023-01-19 10:57:57,39,Neutral
406,315,25,Email,2023-04-10 15:23:44,39,Neutral
407,168,40,Proposal Sent,2023-02-08 07:05:04,100,Negative
408,511,72,Call,2023-04-25 03:31:48,21,Neutral
409,1249,75,Proposal Sent,2024-09-06 07:37:50,120,Neutral
410,249,59,Meeting,2023-12-14 04:06:06,25,Neutral
411,1493,45,Meeting,2025-02-06 08:10:20,9,Positive
412,142,18,Meeting,2025-02-19 04:54:44,78,Negative
413,1312,47,Follow-up,2023-04-15 14:14:57,54,Positive
414,1273,16,Demo,2023-04-26 03:09:51,105,Neutral
415,861,15,Demo,2023-07-27 17:08:17,87,Positive
416,136,40,Follow-up,2024-03-01 08:51:38,38,Negative
417,1006,34,Proposal Sent,2024-10-27 05:55:13,34,Positive
418,351,6,Proposal Sent,2023-02-12 02:12:55,14,Positive
419,306,5,Call,2024-05-21 00:25:03,86,Negative
420,1249,75,Email,2024-05-10 00:36:05,92,Positive
421,792,77,Call,2024-12-21 10:38:11,21,Positive
422,811,73,Demo,2023-11-20 07:43:19,65,Positive
423,961,92,Demo,2024-01-05 14:22:44,119,Negative
424,764,42,Call,2023-01-01 11:32:04,76,Negative
425,1256,82,Meeting,2024-01-11 02:36:50,65,Positive
426,204,85,Email,2024-04-13 08:10:30,58,Neutral
427,658,14,Call,2024-08-03 20:25:01,26,Neutral
428,845,22,Proposal Sent,2024-11-22 20:27:50,97,Positive
429,260,78,Follow-up,2024-08-08 15:01:39,91,Neutral
430,322,13,Meeting,2024-06-19 09:33:56,12,Neutral
431,1210,17,Call,2024-12-30 20:54:24,102,Neutral
432,1207,75,Proposal Sent,2024-07-14 11:09:16,116,Neutral
433,709,47,Email,2024-06-13 02:29:07,18,Positive
434,334,51,Demo,2024-08-01 11:25:34,47,Neutral
435,1296,53,Call,2023-11-15 19:10:38,10,Positive
436,1498,72,Meeting,2024-11-13 11:49:07,56,Negative
437,289,70,Proposal Sent,2024-03-19 23:07:45,118,Negative
438,688,62,Demo,2024-04-24 07:15:00,26,Negative
439,732,51,Proposal Sent,2024-12-19 19:48:49,72,Positive
440,144,95,Call,2023-05-06 13:05:48,60,Negative
441,462,89,Meeting,2023-06-14 15:30:10,71,Positive
442,1294,83,Proposal Sent,2023-11-04 13:31:02,83,Negative
443,1050,66,Demo,2024-08-20 09:15:42,37,Neutral
444,1308,48,Proposal Sent,2023-03-18 05:14:31,20,Neutral
445,1060,87,Meeting,2024-12-29 08:59:22,70,Negative
446,135,12,Call,2023-09-24 04:07:28,79,Neutral
447,264,14,Call,2024-11-18 05:42:12,55,Positive
448,125,59,Follow-up,2023-09-29 21:05:01,113,Neutral
449,786,41,Proposal Sent,2024-10-31 03:51:51,42,Negative
450,1174,71,Demo,2023-12-29 23:08:59,21,Negative
451,1174,71,Meeting,2025-03-26 18:58:13,28,Neutral
452,1123,16,Proposal Sent,2023-01-30 06:07:24,114,Negative
453,1478,98,Follow-up,2024-07-31 05:02:20,46,Negative
454,1040,37,Demo,2023-06-13 10:32:33,38,Neutral
455,1219,40,Email,2024-08-20 00:38:34,49,Positive
