stat_id,game_id,player_id,minutes_played,points,rebounds,assists,steals,blocks,turnovers
51,6,182,15,9,11,3,1,3,2
52,6,295,40,14,10,6,3,0,1
53,6,52,35,30,15,2,4,3,0
54,6,37,25,26,11,9,3,4,2
55,6,374,29,20,11,7,2,4,2
56,6,358,25,17,12,2,4,0,3
57,6,338,18,21,11,4,0,4,1
58,6,225,34,24,5,11,2,1,5
59,6,1,36,25,4,12,0,3,5
60,6,208,39,35,5,12,0,3,5
61,7,116,24,25,15,4,5,2,2
62,7,33,19,5,6,0,5,1,3
63,7,15,35,26,8,7,1,0,4
64,7,98,38,11,9,0,1,2,5
65,7,260,22,13,2,12,1,2,2
66,7,12,39,29,7,4,5,0,4
67,7,400,23,7,5,12,5,0,6
68,7,86,32,4,11,11,5,1,2
69,7,296,30,22,1,11,0,2,6
70,7,120,30,18,2,2,5,1,1
71,8,164,32,7,3,3,2,1,2
72,8,159,40,34,11,7,0,1,1
73,8,213,34,29,5,7,3,4,3
74,8,35,17,13,15,3,2,1,0
75,8,58,39,9,4,0,1,4,0
76,8,245,17,20,9,8,0,1,4
77,8,270,31,5,2,9,3,3,2
78,8,67,40,25,5,3,0,4,0
79,8,167,36,4,4,1,5,1,1
80,8,38,25,27,6,1,3,1,1
81,9,283,37,6,15,1,0,1,5
82,9,256,32,7,3,8,3,2,0
83,9,342,25,3,3,3,5,1,6
84,9,40,20,3,7,4,2,4,2
85,9,100,28,3,15,1,2,4,3
86,9,372,30,31,11,12,5,1,2
87,9,216,37,31,4,3,0,3,6
88,9,200,38,15,3,6,0,1,5
89,9,62,30,34,2,1,5,0,2
90,9,346,39,30,0,3,4,4,3
91,10,59,15,2,11,9,4,2,3
92,10,30,34,27,12,10,4,1,6
93,10,151,37,10,7,3,5,3,0
94,10,141,15,33,3,11,5,2,4
95,10,186,15,3,15,1,2,0,4
96,10,133,21,3,12,5,4,3,2
97,10,55,24,35,6,9,5,1,1
98,10,65,29,23,0,9,3,1,1
99,10,44,31,22,4,10,2,4,2
100,10,91,38,19,11,5,0,1,4
101,11,51,24,35,5,12,1,3,3
102,11,338,32,15,15,3,3,4,6
103,11,232,35,14,4,3,4,0,0
104,11,1,23,17,13,4,3,2,4
105,11,144,24,28,13,12,2,4,3
106,11,288,30,7,4,0,3,1,0
107,11,190,29,23,11,2,4,3,3
108,11,69,27,4,3,4,2,4,2
109,11,255,15,34,3,1,5,2,2
110,11,128,40,7,11,7,1,4,0
111,12,351,17,28,12,1,0,2,3
112,12,177,15,14,12,1,0,4,4
113,12,99,20,27,0,12,2,2,2
114,12,210,37,19,12,5,2,1,5
115,12,61,27,34,7,6,4,2,6
116,12,84,40,3,6,4,5,2,5
117,12,202,36,22,8,5,4,2,5
118,12,186,28,29,0,0,1,0,6
119,12,31,17,7,13,10,1,1,3
120,12,104,39,11,7,8,3,4,3
121,13,111,27,35,7,8,2,0,4
122,13,34,25,30,0,12,4,1,2
123,13,33,15,7,13,10,2,0,4
124,13,169,18,6,6,6,5,2,6
125,13,105,39,3,7,4,4,2,4
126,13,147,15,28,5,12,3,4,2
127,13,120,37,23,3,4,1,4,2
128,13,266,23,20,12,6,4,2,2
129,13,240,19,7,15,11,5,2,6
130,13,37,28,10,15,5,1,4,0
131,14,5,17,30,6,4,2,3,4
132,14,68,36,20,10,9,1,1,2
133,14,218,36,9,13,11,1,4,1
134,14,352,20,29,8,11,4,4,3
135,14,351,37,7,1,0,0,3,0
136,14,298,24,23,14,6,0,1,0
137,14,32,23,21,9,1,5,2,1
138,14,395,35,17,10,11,2,1,6
139,14,129,32,14,6,7,1,4,6
140,14,107,30,24,12,10,3,4,4
141,15,79,28,22,12,4,5,3,5
142,15,334,30,8,2,5,4,4,1
143,15,85,38,6,14,0,5,4,6
144,15,16,34,19,2,11,0,3,5
145,15,80,33,9,3,6,0,0,2
146,15,219,18,34,7,0,4,3,2
147,15,136,40,21,5,11,2,3,1
148,15,391,38,35,10,11,1,1,3
149,15,377,38,32,9,8,5,3,3
150,15,18,15,5,15,8,4,0,5
151,16,74,18,12,2,12,5,4,6
152,16,243,15,12,5,6,3,4,4
153,16,128,16,28,12,6,5,0,1
154,16,82,32,29,11,11,1,4,1
155,16,322,33,25,14,1,3,2,3
156,16,386,15,2,6,10,5,3,0
157,16,279,39,3,14,0,1,3,4
158,16,41,39,5,13,11,5,3,6
159,16,26,40,16,5,0,3,0,4
160,16,391,31,17,8,8,2,4,1
161,17,386,24,30,13,10,1,4,3
162,17,391,26,5,15,12,2,2,6
163,17,251,25,27,10,7,1,3,3
164,17,263,27,25,8,1,4,4,1
165,17,393,31,8,14,9,2,3,3
166,17,265,24,23,4,12,1,0,1
167,17,200,28,13,12,9,1,0,1
168,17,42,19,26,8,5,1,2,3
169,17,62,22,17,0,9,5,0,3
170,17,106,39,18,1,11,3,1,2
171,18,79,35,11,8,7,3,3,2
172,18,238,18,10,10,11,4,1,3
173,18,294,39,3,1,11,2,1,3
174,18,236,38,28,6,3,1,3,3
175,18,80,22,15,8,2,1,4,2
176,18,287,19,16,15,10,1,1,2
177,18,193,39,15,3,0,1,1,5
178,18,366,30,5,0,8,5,4,2
179,18,222,19,15,8,0,1,3,0
180,18,361,23,14,6,3,1,0,5
181,19,345,26,27,2,2,2,3,4
182,19,295,35,2,8,7,1,3,0
183,19,281,33,35,11,12,5,0,3
184,19,120,28,26,0,10,5,3,2
185,19,147,26,24,9,4,5,1,0
186,19,150,29,12,13,4,0,2,1
187,19,192,37,11,14,3,5,4,3
188,19,310,31,35,11,9,1,2,5
189,19,197,19,35,6,10,4,0,1
190,19,118,34,31,14,10,5,4,6
191,20,85,15,17,5,1,4,4,2
192,20,334,39,28,11,12,2,0,5
193,20,390,36,3,4,5,0,3,3
194,20,79,28,35,12,10,5,0,3
195,20,236,35,31,7,4,3,3,3
196,20,32,36,29,7,2,4,4,2
197,20,107,38,7,0,3,4,2,1
198,20,152,24,11,15,6,1,1,0
199,20,298,25,24,12,3,5,3,2
200,20,129,21,28,7,9,4,2,4
201,21,164,32,24,10,12,5,2,3
202,21,291,26,29,11,3,0,3,0
203,21,159,31,33,6,0,0,1,5
204,21,35,17,3,4,11,3,1,3
205,21,139,36,26,7,10,5,1,2
206,21,127,20,15,9,8,3,2,4
207,21,381,21,6,13,10,3,0,6
208,21,206,18,9,1,9,0,2,4
209,21,55,31,29,12,11,5,0,5
210,21,44,29,15,4,6,2,2,6
211,22,277,31,24,11,10,2,0,3
212,22,299,28,5,0,9,1,3,0
213,22,307,28,20,11,10,4,0,0
214,22,92,24,24,15,3,5,2,3
215,22,288,28,21,8,7,1,1,4
216,22,311,31,3,10,6,3,2,0
217,22,368,32,14,14,8,2,3,3
218,22,40,17,35,7,7,2,1,6
219,22,242,23,24,1,9,3,4,2
220,22,53,34,15,1,6,1,2,0
221,23,49,35,26,8,6,4,1,2
222,23,84,22,21,7,5,2,4,3
223,23,30,34,23,5,1,1,0,5
224,23,285,26,26,1,3,4,3,0
225,23,318,15,35,1,3,2,2,3
226,23,360,24,5,6,7,3,2,3
227,23,201,23,31,13,11,4,0,5
228,23,269,38,7,13,1,1,1,0
229,23,308,40,23,1,12,1,4,6
230,23,24,36,27,10,5,4,3,5
231,24,286,35,4,1,12,2,0,2
232,24,351,31,16,6,3,2,1,6
233,24,61,32,28,12,0,0,1,4
234,24,315,25,22,0,12,0,1,4
235,24,304,25,32,6,12,4,0,0
236,24,38,29,8,2,5,4,0,3
237,24,67,38,7,9,9,4,4,0
238,24,124,21,27,11,0,2,2,0
239,24,224,33,8,7,9,3,4,3
240,24,229,17,34,13,12,5,3,0
241,25,361,19,15,5,12,4,2,0
242,25,17,30,8,13,1,1,4,1
243,25,389,21,10,2,12,1,2,4
244,25,254,26,12,4,0,4,2,0
245,25,392,36,5,6,7,5,0,3
246,25,325,19,30,8,8,0,3,3
247,25,261,18,6,5,6,5,1,5
248,25,326,16,16,1,6,4,2,0
249,25,347,28,22,15,10,0,1,0
250,25,269,18,29,1,10,0,4,0
251,26,48,39,16,7,3,0,1,2
252,26,339,26,34,15,9,5,1,0
253,26,49,28,11,7,1,2,2,4
254,26,387,28,34,3,0,4,3,5
255,26,335,18,27,1,4,2,0,2
256,26,229,21,29,0,8,0,3,6
257,26,67,23,8,0,4,2,3,6
258,26,373,16,6,15,1,2,0,6
259,26,124,39,17,8,6,4,2,2
260,26,38,23,24,0,6,0,4,5
261,27,116,37,31,8,5,3,3,4
262,27,184,32,16,11,9,5,0,3
263,27,8,23,11,8,1,2,1,5
264,27,137,34,3,9,9,2,3,6
265,27,34,35,30,13,2,2,1,5
266,27,368,27,7,11,3,0,0,3
267,27,230,24,33,4,8,5,3,0
268,27,311,30,20,12,8,2,4,0
269,27,256,19,26,4,9,3,3,0
270,27,342,18,26,12,2,5,4,3
271,28,133,31,10,8,12,3,4,4
272,28,3,35,28,15,10,0,0,3
273,28,55,26,26,5,7,5,3,6
274,28,91,36,20,1,2,0,2,6
275,28,378,30,10,6,1,5,1,2
276,28,175,19,23,12,0,0,4,2
277,28,235,38,35,9,9,3,0,3
278,28,193,20,8,11,0,2,1,0
279,28,211,35,25,7,5,1,0,1
280,28,366,38,9,8,5,3,0,2
281,29,327,22,11,4,11,5,0,0
282,29,140,34,7,4,9,2,2,5
283,29,160,22,8,8,11,5,0,2
284,29,374,15,33,7,4,5,1,5
285,29,81,35,31,15,9,4,1,5
286,29,274,18,29,4,3,0,1,3
287,29,38,34,35,2,8,0,0,0
288,29,354,40,26,4,4,1,3,2
289,29,124,29,35,13,12,1,2,2
290,29,67,31,32,14,4,2,1,3
291,30,55,21,33,4,5,2,2,5
292,30,91,20,10,10,3,2,0,0
293,30,306,29,35,5,8,0,2,0
294,30,332,22,18,10,5,1,4,5
295,30,23,31,13,15,2,0,2,3
296,30,255,37,4,4,8,4,3,2
297,30,288,25,34,14,1,5,1,0
298,30,259,35,32,10,3,0,1,5
299,30,371,27,25,6,1,2,1,3
300,30,299,19,8,1,7,2,0,2
301,31,264,15,26,2,4,2,2,1
302,31,257,33,26,9,5,5,3,2
303,31,75,23,15,6,1,4,4,6
304,31,272,30,8,3,10,2,1,1
305,31,78,22,19,14,2,4,3,6
306,31,327,38,15,9,3,2,2,4
307,31,240,34,33,11,11,5,4,5
308,31,12,26,28,2,11,4,4,4
309,31,52,17,32,12,0,5,1,0
310,31,37,26,11,15,9,2,1,3
311,32,152,24,4,6,3,0,1,1
312,32,88,20,16,10,4,4,0,3
313,32,107,15,20,14,3,5,0,2
314,32,32,38,35,6,12,3,4,3
315,32,298,24,31,15,11,3,2,0
316,32,248,28,24,12,0,0,3,3
317,32,16,37,10,5,8,1,0,6
318,32,85,20,10,3,9,1,4,3
319,32,238,32,12,15,8,2,3,1
320,32,341,28,18,6,9,1,1,6
321,33,14,28,12,1,6,3,3,0
322,33,142,23,24,7,1,1,1,2
323,33,343,35,18,6,5,4,2,4
324,33,150,32,7,3,8,5,2,6
325,33,205,40,29,11,1,1,2,1
326,33,79,29,7,15,12,5,0,2
327,33,16,32,16,12,4,5,4,0
328,33,238,17,28,10,9,2,2,5
329,33,341,32,25,8,2,0,4,1
330,33,85,30,14,3,3,3,1,5
331,34,221,30,27,14,6,4,3,3
332,34,182,30,25,6,5,4,3,0
333,34,296,21,21,2,7,2,4,0
334,34,266,33,24,7,12,4,0,4
335,34,86,35,21,5,6,3,1,1
336,34,99,30,27,3,5,0,0,0
337,34,305,17,7,7,9,0,2,2
338,34,5,31,2,9,4,1,1,3
339,34,331,23,33,5,12,0,2,4
340,34,370,34,2,2,0,5,4,3
341,35,79,37,3,9,10,5,4,4
342,35,356,17,23,15,3,4,0,3
343,35,238,29,26,14,10,1,3,3
344,35,187,20,4,12,1,0,1,6
345,35,248,21,31,5,6,2,1,5
346,35,193,33,30,5,4,2,4,3
347,35,119,18,25,11,10,3,4,1
348,35,284,20,33,14,0,0,0,5
349,35,287,25,21,3,7,5,3,1
350,35,254,35,13,13,0,4,3,4
351,36,178,16,35,10,10,4,3,1
352,36,226,26,34,12,7,4,2,6
353,36,330,21,14,13,4,2,3,0
354,36,214,20,26,6,2,3,3,6
355,36,39,30,29,11,9,3,2,5
356,36,220,34,18,8,7,5,0,2
357,36,363,26,17,8,7,2,2,5
358,36,301,16,10,8,0,2,1,3
359,36,247,30,12,0,8,5,2,5
360,36,172,38,35,12,5,1,4,2
361,37,276,26,19,1,12,3,4,0
362,37,17,26,16,6,3,5,4,2
363,37,222,27,14,5,11,4,0,1
364,37,348,28,26,9,11,4,0,5
365,37,287,23,3,15,3,3,1,0
366,37,370,38,26,6,2,5,2,6
367,37,161,15,22,3,0,5,1,3
368,37,61,26,35,7,8,3,4,3
369,37,209,21,14,9,6,3,2,5
370,37,5,28,19,12,6,5,0,1
371,38,199,40,32,8,1,2,4,1
372,38,170,40,5,9,1,0,0,0
373,38,369,20,33,13,0,3,4,0
374,38,257,36,22,3,6,2,4,2
375,38,138,33,31,15,9,5,3,1
376,38,363,17,18,8,3,2,3,6
377,38,172,35,25,8,11,3,4,4
378,38,180,21,23,0,12,2,1,3
379,38,27,16,13,14,0,5,3,6
380,38,365,31,32,10,6,3,0,3
381,39,134,22,27,3,3,4,0,1
382,39,138,21,33,14,4,2,4,5
383,39,385,33,35,9,10,0,1,1
384,39,267,30,28,14,0,2,4,6
385,39,369,15,33,2,12,0,3,6
386,39,300,23,4,15,0,3,4,1
387,39,200,39,21,14,8,5,2,4
388,39,76,21,2,7,4,4,2,3
389,39,42,21,29,10,10,2,0,6
390,39,223,24,18,4,7,1,4,0
391,40,305,32,34,7,12,5,3,6
392,40,5,23,17,2,6,3,4,2
393,40,99,38,34,8,4,2,0,4
394,40,68,32,22,6,0,1,1,5
395,40,271,16,31,11,6,0,2,1
396,40,238,38,25,5,3,5,0,1
397,40,302,34,27,12,3,1,0,4
398,40,388,20,17,11,6,2,2,0
399,40,16,22,3,14,9,5,4,0
400,40,79,40,24,8,12,0,1,5
401,41,169,19,24,6,1,4,2,0
402,41,105,15,20,4,3,0,4,1
403,41,98,37,4,12,8,1,0,2
404,41,2,31,9,1,9,1,0,2
405,41,33,24,35,9,11,3,1,4
406,41,236,29,15,4,4,5,2,5
407,41,248,36,22,7,8,0,2,6
408,41,356,17,12,15,2,5,1,6
409,41,388,31,10,13,4,1,4,2
410,41,302,18,34,10,2,2,2,5
411,42,252,33,4,7,0,4,0,4
412,42,226,28,23,9,4,5,4,3
413,42,54,27,8,10,0,5,2,4
414,42,145,32,20,3,11,2,0,4
415,42,398,33,10,8,4,3,2,0
416,42,258,28,25,11,12,2,4,5
417,42,373,40,15,11,5,4,4,0
418,42,229,16,34,4,10,1,3,3
419,42,38,39,23,9,7,3,3,3
420,42,396,23,25,5,5,2,0,1
421,43,59,38,17,15,9,3,4,0
422,43,285,15,33,1,11,2,2,2
423,43,186,34,20,9,9,5,3,3
424,43,49,23,8,13,6,1,1,5
425,43,112,33,23,13,10,3,0,1
426,43,204,20,30,13,7,2,4,5
427,43,209,40,3,12,4,0,1,6
428,43,304,19,33,4,10,3,3,2
429,43,132,21,6,9,5,0,1,2
430,43,5,18,33,1,0,2,2,2
431,44,242,26,23,11,6,1,0,3
432,44,368,32,15,6,5,5,3,5
433,44,123,39,28,13,8,0,4,6
434,44,230,40,24,0,4,5,4,0
435,44,109,15,34,13,12,5,0,2
436,44,199,25,32,10,12,1,0,5
437,44,134,37,31,7,3,3,4,3
438,44,257,16,17,2,10,5,3,0
439,44,78,31,35,11,10,5,0,0
440,44,188,16,25,11,12,4,1,4
441,45,45,16,12,12,4,0,0,4
442,45,46,37,14,7,11,1,4,3
443,45,261,22,33,1,2,0,1,4
444,45,185,32,30,5,10,0,4,4
445,45,70,34,15,9,4,3,4,0
446,45,353,38,19,4,11,0,4,1
447,45,218,24,34,2,2,2,1,5
448,45,271,39,27,13,4,3,2,1
449,45,210,38,28,9,4,0,2,3
450,45,132,35,14,5,12,3,4,6
451,46,308,25,35,2,10,5,4,3
452,46,191,29,21,8,9,4,1,2
453,46,321,27,35,14,10,0,2,2
454,46,360,27,15,10,3,0,2,2
455,46,384,40,29,12,4,5,1,1
456,46,280,27,2,12,4,4,3,3
457,46,149,28,35,2,1,5,4,1
458,46,42,19,11,7,10,5,1,2
459,46,93,27,33,4,2,0,1,3
460,46,300,21,16,15,11,4,2,0
461,47,158,31,28,15,4,5,4,2
462,47,310,30,34,7,0,2,2,2
463,47,343,33,26,10,10,3,3,5
464,47,22,36,25,14,8,3,4,5
465,47,118,15,5,11,5,0,1,3
466,47,298,34,18,6,6,1,1,3
467,47,152,16,25,13,1,2,3,2
468,47,47,21,18,8,2,0,0,2
469,47,129,19,7,13,7,2,3,5
470,47,395,18,25,4,0,1,2,0
471,48,124,36,3,10,6,2,0,1
472,48,274,22,22,10,0,4,0,5
473,48,270,23,14,5,2,5,4,4
474,48,229,30,29,13,11,1,1,6
475,48,275,30,5,8,2,1,1,4
476,48,32,34,6,15,0,0,2,1
477,48,28,19,7,8,5,3,2,4
478,48,88,39,28,11,9,4,0,2
479,48,298,19,32,0,11,1,2,4
480,48,107,34,29,3,1,2,1,2
481,49,281,35,32,15,11,5,2,0
482,49,120,22,4,13,1,0,4,6
483,49,37,19,10,3,6,4,4,3
484,49,160,24,23,6,7,0,2,3
485,49,12,22,11,1,4,1,0,4
486,49,71,17,13,13,6,3,2,3
487,49,271,16,13,7,3,3,0,3
488,49,177,26,23,0,6,1,2,3
489,49,132,25,23,10,2,3,3,1
490,49,370,16,17,12,10,3,0,1
491,50,252,26,29,15,0,3,4,0
492,50,178,25,31,2,12,0,1,0
493,50,57,37,35,2,6,3,4,1
494,50,21,40,13,7,5,1,4,6
495,50,398,22,16,0,10,2,2,4
496,50,112,28,23,15,0,3,4,2
497,50,318,21,11,3,11,4,1,0
498,50,387,19,19,5,6,5,2,3
499,50,114,38,35,10,10,5,2,5
500,50,31,18,3,4,11,0,2,0
501,51,134,31,4,10,1,0,4,1
502,51,272,21,20,12,12,2,1,1
503,51,309,28,14,7,0,2,3,5
504,51,170,39,25,9,3,3,0,0
505,51,264,33,20,3,6,2,1,3
506,51,217,40,31,0,11,2,3,0
507,51,50,18,13,10,11,5,4,1
508,51,312,32,16,6,10,4,3,0
509,51,89,29,25,12,8,0,3,3
510,51,83,34,30,11,0,2,4,0
511,52,244,33,17,0,12,5,0,0
512,52,355,36,24,11,9,0,3,4
513,52,135,39,14,7,11,5,0,3
514,52,346,33,15,12,4,5,3,0
515,52,372,31,18,9,0,3,2,5
516,52,379,33,14,11,7,0,3,6
517,52,91,27,25,0,9,2,3,1
518,52,122,15,32,10,6,1,1,3
519,52,23,18,12,13,0,1,3,6
520,52,103,38,6,3,8,3,4,6
521,53,11,28,2,2,9,2,4,0
522,53,393,32,6,14,0,0,1,1
523,53,26,30,27,5,8,0,2,6
524,53,349,40,35,14,7,3,3,6
525,53,101,16,7,8,10,4,3,1
526,53,255,33,23,13,10,5,4,3
527,53,297,24,29,0,7,3,1,5
528,53,74,25,25,12,11,4,0,4
529,53,69,20,11,1,5,0,1,2
530,53,299,27,17,14,12,2,4,6
531,54,374,16,33,11,1,3,3,5
532,54,327,23,35,13,10,3,1,2
533,54,86,32,9,4,11,0,3,5
534,54,189,30,18,14,4,3,3,4
535,54,37,22,25,10,10,4,2,1
536,54,197,33,32,3,2,2,1,6
537,54,118,16,7,6,0,5,3,2
538,54,150,28,9,4,6,3,0,4
539,54,158,17,28,6,3,2,1,5
540,54,205,16,15,2,3,4,3,4
541,55,55,31,10,15,5,1,1,2
542,55,4,25,13,13,11,1,0,1
543,55,103,34,19,15,4,3,4,0
544,55,379,18,13,5,6,4,4,1
545,55,127,24,25,3,7,1,4,1
546,55,89,35,31,13,5,0,1,4
547,55,273,35,19,14,5,5,0,2
548,55,153,25,32,15,11,3,4,0
549,55,58,29,21,6,1,1,2,1
550,55,217,24,22,6,5,1,4,5
551,56,66,16,11,14,2,0,4,2
552,56,371,31,4,6,6,4,2,3
553,56,243,35,24,13,2,4,2,1
554,56,288,21,8,13,8,3,3,0
555,56,249,40,35,10,5,0,3,4
556,56,264,23,19,3,0,5,0,0
557,56,257,24,11,15,12,5,4,3
558,56,313,23,14,11,4,4,1,0
559,56,267,15,8,2,8,4,4,3
560,56,272,34,9,6,2,5,4,1
561,57,225,24,34,2,1,0,2,5
562,57,268,30,4,6,4,3,2,3
563,57,208,16,7,13,4,5,1,3
564,57,144,20,21,10,5,2,3,1
565,57,320,15,13,3,3,2,2,6
566,57,216,36,17,9,0,3,0,6
567,57,280,29,17,9,3,2,3,3
568,57,346,16,23,8,7,5,0,5
569,57,96,36,5,13,0,1,4,4
570,57,93,17,5,14,9,2,0,3
571,58,139,35,7,5,0,1,1,2
572,58,164,35,8,15,5,3,0,3
573,58,89,31,4,10,6,2,0,4
574,58,58,38,23,8,1,1,1,5
575,58,155,21,29,12,5,5,0,1
576,58,246,37,22,3,7,5,4,0
577,58,181,36,25,15,8,1,4,0
578,58,280,37,23,5,11,2,4,1
579,58,63,20,7,3,10,5,0,5
580,58,223,24,12,8,8,0,2,0
581,59,267,31,25,12,9,4,1,4
582,59,75,18,20,5,6,2,1,0
583,59,313,18,12,0,1,3,2,0
584,59,78,19,5,9,11,2,3,4
585,59,138,31,34,12,6,2,4,2
586,59,212,20,9,7,10,3,3,5
587,59,15,25,8,13,4,2,4,0
588,59,314,25,14,4,11,0,4,5
589,59,34,15,8,3,3,0,4,2
590,59,169,19,15,3,5,3,4,6
591,60,44,37,2,4,2,5,2,3
592,60,65,20,27,15,1,5,1,6
593,60,91,20,2,4,5,1,2,1
594,60,332,22,29,14,12,0,3,3
595,60,90,27,3,9,12,1,4,5
596,60,148,30,21,1,8,5,3,3
597,60,323,19,6,1,7,5,2,1
598,60,226,40,20,1,0,1,1,5
599,60,207,16,25,2,0,5,4,5
600,60,398,30,11,9,12,3,1,2
601,61,107,17,29,6,9,1,3,6
602,61,47,28,16,10,11,1,1,4
603,61,88,36,8,5,12,4,4,1
604,61,298,27,14,5,12,3,4,5
605,61,129,28,35,0,7,5,0,2
606,61,86,39,16,2,8,4,4,2
607,61,345,33,17,2,1,5,3,5
608,61,140,33,13,2,10,1,2,1
609,61,189,24,31,1,5,0,3,6
610,61,240,35,2,15,7,2,0,5
611,62,299,21,24,14,6,4,3,5
612,62,371,28,10,2,3,4,0,6
613,62,195,25,24,2,9,2,4,2
614,62,307,38,24,8,11,1,1,2
615,62,255,33,23,10,1,1,1,5
616,62,4,24,8,13,3,5,2,0
617,62,103,38,8,0,9,3,3,2
618,62,378,25,8,7,12,3,1,3
619,62,7,39,24,0,5,5,0,2
620,62,122,17,33,7,7,1,1,1
621,63,104,31,31,1,11,1,1,1
622,63,49,35,9,4,8,0,3,0
623,63,151,40,35,7,5,2,3,5
624,63,387,36,22,4,1,0,1,3
625,63,202,38,22,13,3,3,1,0
626,63,36,18,3,12,2,1,0,6
627,63,176,28,23,8,10,0,0,1
628,63,358,32,8,0,3,5,3,2
629,63,144,32,25,2,10,0,0,1
630,63,165,17,34,4,4,0,2,0
631,64,241,31,18,13,1,3,4,3
632,64,58,32,30,6,2,0,2,4
633,64,217,34,32,0,3,5,1,0
634,64,50,23,14,9,10,3,2,1
635,64,89,38,15,9,4,1,0,0
636,64,137,24,27,0,1,0,2,0
637,64,125,21,9,7,5,2,2,5
638,64,15,29,21,4,0,5,3,6
639,64,8,19,10,7,9,2,3,6
640,64,2,37,31,4,10,0,3,3
641,65,52,33,33,14,7,3,3,5
642,65,400,29,25,2,3,4,3,3
643,65,281,36,6,4,12,1,4,4
644,65,327,17,16,14,10,5,1,0
645,65,295,23,34,15,3,0,2,2
646,65,33,38,34,13,8,0,3,6
647,65,260,38,16,8,1,4,4,5
648,65,111,15,33,12,12,2,0,1
649,65,116,35,8,11,7,2,4,2
650,65,212,34,14,3,12,4,2,1
651,66,397,23,21,6,12,1,4,1
652,66,227,29,7,10,4,0,3,1
653,66,113,31,22,13,7,0,1,0
654,66,6,38,31,2,12,2,1,3
655,66,225,32,19,5,0,5,2,2
656,66,337,39,16,10,4,2,0,3
657,66,300,39,35,13,7,3,4,6
658,66,200,31,12,4,12,0,0,5
659,66,355,16,31,4,10,5,0,2
660,66,181,15,21,15,12,0,0,6
661,67,72,29,25,15,8,5,0,2
662,67,156,18,3,9,8,3,3,3
663,67,219,17,35,13,4,2,1,3
664,67,26,19,20,9,7,0,2,4
665,67,391,32,28,15,1,0,0,0
666,67,237,25,31,1,11,2,2,1
667,67,217,40,3,14,3,1,2,6
668,67,35,27,29,15,10,2,4,6
669,67,153,40,5,6,10,0,2,6
670,67,97,22,34,3,12,3,3,4
671,68,305,23,27,5,4,3,0,2
672,68,352,31,9,3,10,1,0,0
673,68,286,31,29,9,3,1,1,0
674,68,304,23,24,12,5,0,4,6
675,68,71,18,12,14,5,4,0,6
676,68,263,22,31,8,3,5,1,2
677,68,13,27,32,9,0,5,2,1
678,68,11,27,10,10,1,5,1,1
679,68,101,18,6,10,4,0,0,0
680,68,136,33,3,4,0,3,0,3
681,69,22,21,5,1,5,1,1,0
682,69,118,36,21,8,2,5,3,6
683,69,343,29,17,11,3,4,2,5
684,69,158,19,22,13,1,0,3,0
685,69,205,36,22,9,4,5,1,3
686,69,400,25,15,14,12,2,4,1
687,69,52,27,35,4,11,5,4,2
688,69,295,16,8,8,9,4,2,0
689,69,147,20,14,4,3,2,4,2
690,69,182,33,16,11,8,0,1,5
691,70,220,15,33,10,0,3,4,0
692,70,162,33,30,6,5,2,2,1
693,70,363,26,13,8,11,5,3,3
694,70,27,30,32,8,4,2,4,3
695,70,365,23,17,1,4,3,2,6
